DATE,UNRATE,Usdollarindex,CPI,T_notes,crudeoil
1/1/86,6.7,120.1897,109.9,9.19,22.93
2/1/86,7.2,115.7162,109.7,8.7,15.46
3/1/86,7.2,113.2825,109.1,7.78,12.61
4/1/86,7.1,112.223,108.7,7.3,12.84
5/1/86,7.2,109.5738,109,7.71,15.38
6/1/86,7.2,110.3052,109.4,7.8,13.43
7/1/86,7,107.3615,109.5,7.3,11.59
8/1/86,6.9,105.5317,109.6,7.17,15.1
9/1/86,7,105.4336,110,7.45,14.87
10/1/86,7,105.5044,110.2,7.43,14.9
11/1/86,6.9,107.0987,110.4,7.25,15.22
12/1/86,6.6,106.1015,110.8,7.11,16.11
1/1/87,6.6,101.8453,111.4,7.08,18.65
2/1/87,6.6,100.297,111.8,7.25,17.75
3/1/87,6.6,99.3084,112.2,7.25,18.3
4/1/87,6.3,96.8727,112.7,8.02,18.68
5/1/87,6.3,96.2103,113,8.61,19.44
6/1/87,6.2,97.7501,113.5,8.4,20.07
7/1/87,6.1,99.2907,113.8,8.45,21.34
8/1/87,6,98.9041,114.3,8.76,20.31
9/1/87,5.9,96.8285,114.7,9.42,19.53
10/1/87,6,96.4423,115,9.52,19.86
11/1/87,5.8,92.5121,115.4,8.86,18.85
12/1/87,5.7,89.6784,115.6,8.99,17.28
1/1/88,5.7,89.6179,116,8.67,17.13
2/1/88,5.7,90.5721,116.2,8.21,16.8
3/1/88,5.7,89.0744,116.5,8.37,16.2
4/1/88,5.4,87.9947,117.2,8.72,17.86
5/1/88,5.6,88.3378,117.5,9.09,17.42
6/1/88,5.4,89.9762,118,8.92,16.53
7/1/88,5.4,92.7828,118.5,9.06,15.5
8/1/88,5.6,94.01,119,9.26,15.52
9/1/88,5.4,94.0403,119.5,8.98,14.54
10/1/88,5.4,91.2933,119.9,8.8,13.77
11/1/88,5.3,88.8012,120.3,8.96,14.14
12/1/88,5.3,88.439,120.7,9.11,16.38
1/1/89,5.4,90.5499,121.2,9.09,18.02
2/1/89,5.2,90.9714,121.6,9.17,17.94
3/1/89,5,92.2971,122.2,9.36,19.48
4/1/89,5.2,92.6078,123.1,9.18,21.07
5/1/89,5.2,95.5648,123.7,8.86,20.12
6/1/89,5.3,97.92,124.1,8.28,20.05
7/1/89,5.2,95.1119,124.5,8.02,19.78
8/1/89,5.2,95.7525,124.5,8.11,18.58
9/1/89,5.3,97.109,124.8,8.19,19.59
10/1/89,5.3,95.1042,125.4,8.01,20.1
11/1/89,5.4,94.7829,125.9,7.87,19.86
12/1/89,5.4,93.1117,126.3,7.84,21.1
1/1/90,5.4,92.4069,127.5,8.21,22.86
2/1/90,5.3,92.449,128,8.47,22.11
3/1/90,5.2,94.3127,128.6,8.59,20.39
4/1/90,5.4,94.308,128.9,8.79,18.43
5/1/90,5.4,93.0176,129.1,8.76,18.2
6/1/90,5.2,93.0054,129.9,8.48,16.7
7/1/90,5.5,90.468,130.5,8.47,18.45
8/1/90,5.7,88.1775,131.6,8.75,27.31
9/1/90,5.9,87.0211,132.5,8.89,33.51
10/1/90,5.9,84.4191,133.4,8.72,36.04
11/1/90,6.2,83.7726,133.7,8.39,32.33
12/1/90,6.3,85.0981,134.2,8.08,27.28
1/1/91,6.4,85.0127,134.7,8.09,25.23
2/1/91,6.6,83.7732,134.8,7.85,20.48
3/1/91,6.8,88.176,134.8,8.11,19.9
4/1/91,6.7,89.8699,135.1,8.04,20.83
5/1/91,6.9,90.4827,135.6,8.07,21.23
6/1/91,6.9,92.2858,136,8.28,20.19
7/1/91,6.8,92.0878,136.2,8.27,21.4
8/1/91,6.9,90.9057,136.6,7.9,21.69
9/1/91,6.9,89.1465,137,7.65,21.89
10/1/91,7,88.2639,137.2,7.53,23.23
11/1/91,7,86.7001,137.8,7.42,22.46
12/1/91,7.3,85.5114,138.2,7.09,19.5
1/1/92,7.3,85.6063,138.3,7.03,18.79
2/1/92,7.4,87.3721,138.6,7.34,19.01
3/1/92,7.4,89.6101,139.1,7.54,18.92
4/1/92,7.4,89.2531,139.4,7.48,20.23
5/1/92,7.6,88.1551,139.7,7.39,20.98
6/1/92,7.8,86.2159,140.1,7.26,22.39
7/1/92,7.7,84.2025,140.5,6.84,21.78
8/1/92,7.6,83.4086,140.8,6.59,21.34
9/1/92,7.6,84.1096,141.1,6.42,21.88
10/1/92,7.3,86.2203,141.7,6.59,21.69
11/1/92,7.4,89.9252,142.1,6.87,20.34
12/1/92,7.4,90.193,142.3,6.77,19.41
1/1/93,7.3,91.5019,142.8,6.6,19.03
2/1/93,7.1,91.4854,143.1,6.26,20.09
3/1/93,7,90.4383,143.3,5.98,20.32
4/1/93,7.1,88.2591,143.8,5.97,20.25
5/1/93,7.1,87.9304,144.2,6.04,19.95
6/1/93,7,88.4614,144.3,5.96,19.09
7/1/93,6.9,89.9177,144.5,5.81,17.89
8/1/93,6.8,89.5033,144.8,5.68,18.01
9/1/93,6.7,88.9738,145,5.36,17.5
10/1/93,6.8,89.8907,145.6,5.33,18.15
11/1/93,6.6,90.991,146,5.72,16.61
12/1/93,6.5,91.6579,146.3,5.77,14.52
1/1/94,6.6,92.0125,146.3,5.75,15.03
2/1/94,6.6,91.0888,146.7,5.97,14.78
3/1/94,6.5,90.5499,147.1,6.48,14.68
4/1/94,6.4,90.5378,147.2,6.97,16.42
5/1/94,6.1,89.7509,147.5,7.18,17.89
6/1/94,6.1,88.9217,147.9,7.1,19.06
7/1/94,6.1,86.8658,148.4,7.3,19.66
8/1/94,6,87.1754,149,7.24,18.38
9/1/94,5.9,85.963,149.3,7.46,17.45
10/1/94,5.8,85.0543,149.4,7.74,17.72
11/1/94,5.6,85.7144,149.8,7.96,18.07
12/1/94,5.5,87.4288,150.1,7.81,17.16
1/1/95,5.6,87.0693,150.5,7.78,18.04
2/1/95,5.4,86.1688,150.9,7.47,18.57
3/1/95,5.4,83.0625,151.2,7.2,18.54
4/1/95,5.8,80.3362,151.8,7.06,19.9
5/1/95,5.6,80.8635,152.1,6.63,19.74
6/1/95,5.6,80.785,152.4,6.17,18.45
7/1/95,5.7,80.8926,152.6,6.28,17.33
